Hours_Studied,Attendance,Parental_Involvement,Motivation_Level,Teacher_Quality,Exam_Score,Perf
21,96,Medium,High,High,71,Medium
28,61,Medium,High,Medium,65,Low
10,82,Medium,Medium,High,64,Low
21,91,High,Medium,Medium,72,Medium
22,82,Medium,Medium,Medium,65,Low
25,73,Medium,High,High,66,Low
13,65,Low,Medium,Medium,61,Low
12,96,Low,Medium,High,68,Low
23,79,High,Low,Medium,69,Low
22,95,Medium,Medium,Medium,72,Medium
22,83,Medium,Medium,High,71,Medium
22,87,High,Low,High,70,Low
16,92,Medium,Low,Medium,68,Low
21,86,Low,Medium,High,67,Low
22,76,Medium,Medium,High,68,Low
16,81,Medium,Medium,Medium,68,Low
31,92,Medium,Medium,High,72,Medium
23,75,Low,Low,Medium,65,Low
13,76,Medium,Low,Medium,66,Low
24,64,Medium,High,High,65,Low
14,97,Medium,Medium,Medium,67,Low
25,64,Medium,Low,Medium,66,Low
27,86,Medium,Low,High,69,Low
15,77,Medium,Low,High,66,Low
26,76,Medium,Medium,Low,69,Low
22,87,High,Medium,Medium,67,Low
25,63,High,Medium,Low,66,Low
31,84,Medium,Medium,Medium,71,Medium
19,91,High,Medium,High,70,Low
15,93,High,Medium,High,71,Medium
15,67,Medium,High,Medium,66,Low
15,96,Medium,High,High,67,Low
20,86,High,Medium,Medium,66,Low
22,95,Medium,Low,High,72,Medium
22,79,Medium,Medium,Medium,68,Low
25,82,Medium,Medium,High,69,Low
20,97,Medium,Low,Low,71,Medium
29,96,Medium,Low,Medium,70,Low
18,78,Medium,High,Low,67,Low
36,71,Medium,Medium,Medium,69,Low
24,76,Low,Low,Medium,65,Low
15,76,High,Medium,Medium,65,Low
14,71,Medium,Low,High,64,Low
23,71,Low,Low,Medium,63,Low
19,94,Low,Medium,Low,69,Low
24,63,Medium,Medium,High,64,Low
23,87,High,High,Medium,72,Medium
20,67,Low,Medium,Medium,63,Low
15,74,Low,Low,Medium,64,Low
11,62,Medium,Medium,Medium,64,Low
17,71,Medium,Medium,Medium,67,Low
25,91,Medium,Low,High,71,Medium
21,95,Medium,High,Low,70,Low
13,69,Medium,Low,Medium,61,Low
21,79,Medium,Low,Medium,67,Low
22,79,High,Medium,High,72,Medium
15,95,Low,Low,Medium,66,Low
21,91,Medium,Medium,Low,70,Low
20,81,High,High,Medium,67,Low
13,87,High,Medium,High,67,Low
22,94,Low,High,Medium,71,Medium
23,60,High,Medium,Medium,66,Low
26,76,Medium,Medium,Medium,68,Low
26,96,Medium,Medium,Medium,74,Medium
12,90,Medium,Medium,Medium,64,Low
14,82,Medium,Medium,Medium,65,Low
23,81,Low,Medium,Medium,66,Low
23,74,Medium,Low,High,66,Low
23,81,Medium,Medium,Medium,68,Low
43,86,High,Medium,High,78,Medium
23,77,Medium,Low,Medium,67,Low
27,89,Medium,Medium,Medium,74,Medium
26,94,Medium,High,High,74,Medium
24,66,Medium,Low,Medium,62,Low
18,78,High,Medium,Medium,66,Low
25,76,Medium,High,High,69,Low
15,87,Medium,Medium,High,68,Low
19,70,Medium,High,Medium,89,High
17,86,High,Low,Medium,66,Low
20,95,Low,Low,High,68,Low
34,77,Medium,Low,Medium,69,Low
9,96,Medium,High,Medium,67,Low
24,100,High,Low,Medium,75,Medium
10,64,Medium,High,Medium,60,Low
17,69,High,Medium,High,66,Low
27,98,Low,Low,Medium,73,Medium
20,98,Medium,Low,High,68,Low
14,64,Medium,Medium,Medium,62,Low
16,61,Medium,Low,High,62,Low
24,66,High,High,Medium,65,Low
16,100,High,High,Medium,69,Low
21,67,Medium,Low,Medium,64,Low
20,80,Medium,Medium,Low,67,Low
16,94,High,Medium,High,70,Low
33,61,Medium,High,High,70,Low
24,84,High,Low,High,69,Low
8,71,High,Medium,High,61,Low
21,94,Medium,Low,Medium,69,Low
16,71,High,Medium,Medium,63,Low
25,87,Medium,Low,High,67,Low
15,87,Low,Medium,Medium,65,Low
19,69,Medium,High,High,66,Low
23,61,Low,Medium,Medium,63,Low
25,76,Medium,Medium,Medium,68,Low
13,72,High,Medium,High,65,Low
18,92,Low,Medium,Medium,67,Low
17,92,Low,Medium,High,68,Low
16,78,Medium,Medium,Low,64,Low
31,84,Medium,High,Medium,71,Medium
22,84,Medium,Low,Medium,69,Low
12,93,Medium,Low,Medium,67,Low
26,77,Low,Low,Low,65,Low
33,71,Low,Medium,Medium,68,Low
26,71,High,Low,Medium,67,Low
11,81,Medium,High,High,67,Low
17,78,Medium,Medium,High,66,Low
28,78,High,High,Medium,70,Low
16,64,High,Medium,High,65,Low
23,89,Low,Low,Low,69,Low
25,69,Medium,Low,High,65,Low
14,68,High,Medium,Medium,63,Low
20,77,Medium,Low,High,67,Low
1,69,High,Medium,Medium,61,Low
14,83,Medium,Medium,Medium,65,Low
18,75,Low,Medium,Low,66,Low
13,78,Medium,High,Low,66,Low
30,81,Medium,Medium,High,69,Low
11,68,Medium,Medium,Medium,63,Low
17,66,Low,Medium,Medium,65,Low
21,95,Low,Low,Medium,67,Low
29,77,High,Medium,Medium,69,Low
11,76,Low,Medium,Low,65,Low
27,61,Medium,Medium,Medium,65,Low
20,80,High,Medium,Medium,65,Low
14,82,Medium,Low,High,67,Low
23,82,Low,Medium,Medium,66,Low
21,88,Medium,Medium,Medium,72,Medium
16,67,Medium,High,Medium,66,Low
20,70,Medium,Low,High,65,Low
18,92,High,Medium,Medium,69,Low
21,98,Medium,Medium,Low,68,Low
24,65,Medium,Low,Medium,64,Low
30,80,Low,Medium,Medium,69,Low
13,69,Medium,Low,Medium,59,Low
33,62,High,Medium,Medium,68,Low
8,73,Medium,Medium,Medium,60,Low
19,66,Medium,Medium,Medium,62,Low
24,88,Low,Low,Low,67,Low
22,81,Low,High,Medium,68,Low
16,66,Medium,High,Medium,64,Low
19,60,Medium,High,High,65,Low
17,92,Low,Medium,Medium,65,Low
16,67,High,Medium,Low,63,Low
25,84,Medium,Low,High,70,Low
22,73,Low,Low,Medium,66,Low
16,83,Medium,Low,Medium,68,Low
25,73,Low,Medium,Medium,66,Low
22,63,Low,Medium,Medium,63,Low
25,69,High,Medium,Medium,66,Low
24,68,Medium,Medium,Medium,65,Low
15,77,Medium,High,Medium,66,Low
17,86,High,High,Low,67,Low
24,71,Medium,Medium,Medium,66,Low
24,60,Low,High,High,63,Low
20,81,Medium,Low,Medium,66,Low
21,84,Medium,Low,Medium,67,Low
28,99,Medium,Medium,Medium,71,Medium
16,84,Medium,Medium,Medium,67,Low
23,79,Medium,Medium,Low,69,Low
19,83,Medium,Medium,Medium,67,Low
19,97,High,High,Medium,72,Medium
27,93,High,High,Medium,70,Low
25,73,Medium,Low,Medium,67,Low
25,69,Low,Medium,High,64,Low
28,71,Medium,High,High,67,Low
20,80,Low,Medium,Medium,69,Low
24,90,Low,Medium,Medium,68,Low
18,80,Medium,Low,Low,63,Low
22,63,Medium,Medium,High,68,Low
19,89,High,Medium,Medium,70,Low
21,92,Medium,Low,Medium,66,Low
24,72,High,High,High,68,Low
15,87,High,High,Medium,67,Low
33,77,Low,Medium,Medium,69,Low
14,96,Medium,High,Medium,66,Low
13,94,Medium,Low,Medium,68,Low
27,81,Medium,Medium,Low,69,Low
25,88,Medium,Low,Medium,70,Low
24,95,Medium,High,High,74,Medium
24,80,Medium,High,High,70,Low
20,73,Medium,Low,High,66,Low
15,90,High,Medium,High,69,Low
20,69,Medium,Low,Medium,64,Low
16,76,Low,Medium,Medium,62,Low
26,95,Low,Medium,Medium,70,Low
19,89,High,Medium,Medium,68,Low
15,76,Medium,Low,High,65,Low
18,69,High,Low,Medium,65,Low
22,74,High,Low,High,71,Medium
17,71,High,Low,Medium,66,Low
15,67,Medium,Medium,Medium,61,Low
21,90,Low,Low,High,67,Low
21,70,Low,Medium,High,65,Low
17,78,Medium,Medium,Medium,65,Low
17,75,Medium,Medium,Medium,65,Low
21,99,Medium,High,Medium,73,Medium
11,76,Medium,Medium,Low,62,Low
12,63,Medium,Low,High,60,Low
16,64,Low,Low,Medium,61,Low
19,84,Low,High,Medium,67,Low
22,84,High,Medium,High,70,Low
29,77,Low,Medium,Medium,69,Low
25,77,Medium,High,Medium,66,Low
19,62,Medium,Low,High,64,Low
20,81,High,Medium,Medium,68,Low
14,80,High,Medium,Medium,67,Low
20,66,Medium,High,Medium,64,Low
18,64,Medium,High,Medium,65,Low
22,65,Low,Medium,Medium,66,Low
15,64,Medium,High,Medium,63,Low
23,84,High,Low,Low,68,Low
29,68,Medium,Medium,Medium,66,Low
19,70,Medium,Low,Low,63,Low
22,67,Low,Low,Medium,63,Low
24,98,High,Medium,Medium,74,Medium
18,94,Medium,Low,High,70,Low
21,69,High,Medium,Medium,68,Low
20,73,Medium,Medium,Medium,66,Low
21,68,Medium,Low,Medium,63,Low
15,80,Low,Medium,Medium,67,Low
20,61,Medium,Medium,Low,62,Low
23,87,High,Medium,High,71,Medium
29,81,High,Medium,Medium,72,Medium
26,96,Medium,Medium,Medium,72,Medium
33,67,Medium,High,High,68,Low
15,92,Medium,Low,Medium,66,Low
25,92,Medium,Medium,Medium,70,Low
21,65,Medium,High,Medium,66,Low
33,76,Medium,Low,Medium,72,Medium
15,67,High,Low,High,64,Low
15,70,High,Medium,Medium,63,Low
16,71,Medium,Medium,Medium,61,Low
7,82,High,Medium,Medium,62,Low
17,76,Medium,High,High,68,Low
15,98,Low,Low,Medium,68,Low
21,65,Low,High,Medium,63,Low
22,99,Medium,Low,Medium,70,Low
31,69,High,Medium,Medium,68,Low
26,91,High,Medium,Medium,72,Medium
17,74,Medium,Medium,Low,67,Low
15,66,Low,Medium,Medium,61,Low
23,94,Low,Medium,Medium,69,Low
12,72,Medium,High,High,61,Low
31,86,High,Medium,Medium,75,Medium
27,83,High,Medium,Low,68,Low
17,79,Medium,Low,High,65,Low
10,80,High,High,,67,Low
28,89,Medium,High,Low,75,Medium
19,64,Low,Medium,Medium,64,Low
27,87,Medium,Medium,High,70,Low
10,96,High,Medium,Medium,67,Low
16,62,Medium,Low,Medium,63,Low
20,66,High,Medium,Medium,65,Low
20,89,Medium,Medium,Medium,67,Low
17,77,Low,Medium,Medium,86,High
24,76,Low,High,High,67,Low
14,65,High,Low,Medium,63,Low
19,80,Medium,Medium,Low,66,Low
21,65,High,Low,Medium,65,Low
23,79,Medium,Medium,Medium,67,Low
24,91,Medium,Low,High,69,Low
13,70,High,Medium,Low,66,Low
11,79,Medium,Medium,Medium,64,Low
28,100,High,Medium,Medium,73,Medium
22,87,Low,Low,Medium,66,Low
16,94,Medium,Low,Medium,68,Low
29,77,High,Low,High,70,Low
21,91,High,Medium,Low,69,Low
27,62,Medium,Low,Medium,67,Low
20,65,Medium,Low,Medium,62,Low
32,68,Medium,High,Medium,68,Low
31,76,Medium,Medium,Medium,72,Medium
19,94,Low,Medium,Low,69,Low
26,74,Low,Low,High,66,Low
24,86,High,Medium,Medium,70,Low
28,88,High,Medium,Medium,71,Medium
14,83,Medium,Medium,Low,65,Low
24,74,High,Medium,High,70,Low
26,83,Low,High,High,65,Low
9,74,Medium,Low,High,62,Low
13,63,High,Medium,Medium,62,Low
8,100,High,Medium,High,70,Low
18,65,Medium,Medium,Medium,66,Low
24,63,High,Low,Medium,67,Low
29,95,Medium,Medium,High,72,Medium
20,72,High,Low,High,66,Low
30,86,Medium,Medium,Medium,68,Low
12,73,High,Medium,Medium,62,Low
10,76,Low,Medium,High,64,Low
20,70,Medium,Medium,Medium,65,Low
22,74,Medium,Low,High,66,Low
20,76,Medium,Medium,High,64,Low
8,89,Medium,Low,Medium,67,Low
19,80,High,Low,Medium,69,Low
12,98,High,Medium,Low,68,Low
24,62,Medium,High,Low,64,Low
22,80,High,Medium,Medium,68,Low
14,83,Low,Medium,Low,64,Low
17,97,Medium,High,Medium,71,Medium
14,62,High,Low,Medium,61,Low
20,83,Low,Medium,Medium,68,Low
26,94,High,Low,Medium,73,Medium
14,70,High,Medium,Medium,64,Low
23,95,Medium,Medium,Medium,72,Medium
17,61,Medium,High,Medium,65,Low
15,89,Medium,Medium,High,68,Low
19,97,High,Medium,High,71,Medium
14,86,Medium,Medium,,65,Low
17,78,Medium,Low,Medium,66,Low
13,62,Low,Medium,Low,63,Low
32,97,Medium,Medium,Medium,74,Medium
20,79,High,Low,High,66,Low
16,61,Medium,High,High,63,Low
21,88,High,High,Medium,72,Medium
19,79,Medium,Low,High,69,Low
19,65,Medium,Medium,High,67,Low
24,69,Low,Low,Medium,66,Low
25,63,High,Medium,High,64,Low
17,83,Low,Medium,High,67,Low
17,85,Medium,High,Medium,69,Low
18,80,Medium,Medium,High,65,Low
6,93,Medium,High,Medium,64,Low
11,94,Medium,High,Low,65,Low
28,85,Medium,Medium,High,72,Medium
30,61,Low,Medium,High,66,Low
19,88,Medium,Medium,Medium,66,Low
23,77,High,Medium,Low,67,Low
22,83,Medium,High,Medium,69,Low
38,86,Low,Low,Medium,73,Medium
27,74,Medium,Medium,Medium,69,Low
19,97,Medium,Medium,Medium,68,Low
14,65,Low,Medium,Medium,61,Low
10,87,Medium,Medium,Medium,63,Low
21,60,Medium,Low,Medium,63,Low
15,97,Low,Medium,High,68,Low
11,65,Medium,Medium,Medium,63,Low
16,64,High,Medium,Medium,66,Low
14,73,High,Medium,Medium,65,Low
30,75,High,High,Medium,68,Low
25,69,Medium,High,Medium,66,Low
20,83,Low,Low,Medium,66,Low
29,78,High,Medium,Medium,70,Low
20,61,Low,Medium,Medium,61,Low
15,73,Medium,Medium,High,61,Low
29,92,Medium,High,High,71,Medium
23,88,Low,Medium,Medium,67,Low
14,89,High,Medium,High,70,Low
19,88,High,Medium,Medium,69,Low
15,72,High,Medium,Medium,65,Low
12,64,High,High,Medium,61,Low
26,71,Medium,Low,Medium,68,Low
31,93,High,Medium,Medium,74,Medium
12,99,Medium,Low,Medium,67,Low
23,80,Medium,Low,Medium,70,Low
16,60,Low,Low,High,59,Low
17,66,High,Low,High,64,Low
16,73,High,Medium,High,66,Low
15,83,Low,Medium,Medium,63,Low
20,63,Low,Low,Medium,61,Low
15,98,Low,Low,Medium,68,Low
22,75,Medium,Low,Medium,65,Low
20,97,Medium,Medium,Medium,69,Low
19,91,High,Medium,Medium,68,Low
15,90,Medium,Low,High,69,Low
17,84,Medium,High,High,67,Low
25,85,High,High,Medium,70,Low
23,86,Medium,Low,Medium,68,Low
14,85,Medium,Low,Medium,67,Low
21,82,High,Medium,Medium,67,Low
25,99,High,High,Medium,75,Medium
10,89,Low,Low,Medium,63,Low
23,91,Low,High,Medium,70,Low
16,95,Medium,Low,High,70,Low
23,69,Medium,Medium,Medium,64,Low
15,63,Medium,Low,Low,59,Low
9,79,Medium,High,Low,63,Low
10,81,High,Medium,Medium,67,Low
20,93,Low,Medium,Medium,68,Low
22,78,Medium,Low,High,68,Low
15,83,Medium,Medium,High,97,High
24,81,Medium,Medium,Low,66,Low
10,62,Medium,High,Medium,61,Low
20,85,High,High,Medium,70,Low
13,93,Low,High,Low,65,Low
16,66,Low,High,Medium,64,Low
20,84,Medium,High,Medium,69,Low
15,84,Medium,Low,Medium,64,Low
18,67,Low,Low,High,61,Low
26,65,Low,Low,Medium,64,Low
17,99,Medium,Medium,Medium,68,Low
25,76,Medium,High,High,67,Low
13,69,High,Medium,Low,62,Low
23,67,Medium,Medium,High,66,Low
29,87,Medium,High,Medium,72,Medium
5,84,Medium,High,High,68,Low
15,86,Medium,Medium,Medium,71,Medium
23,64,Medium,High,Medium,65,Low
19,96,Medium,Low,Low,68,Low
22,76,Medium,Medium,High,65,Low
16,73,High,Medium,Medium,64,Low
21,78,Medium,Medium,Medium,65,Low
19,76,High,Low,High,65,Low
27,95,High,High,High,73,Medium
22,97,Medium,Medium,High,72,Medium
22,72,Low,Medium,Medium,64,Low
18,95,Medium,Low,Medium,69,Low
17,91,Medium,High,Medium,69,Low
17,97,Medium,Medium,Medium,70,Low
22,70,Low,Low,Medium,83,Medium
17,83,High,Low,Medium,68,Low
22,71,Low,High,High,84,Medium
32,93,Medium,High,High,75,Medium
25,60,Low,Medium,Medium,67,Low
18,83,Medium,Medium,Medium,69,Low
27,74,High,High,Medium,71,Medium
18,73,Medium,Medium,Medium,66,Low
8,86,Medium,High,Medium,65,Low
14,94,High,Medium,Medium,70,Low
9,84,High,High,High,66,Low
18,94,High,Medium,High,74,Medium
20,71,High,Medium,,66,Low
30,81,Medium,Low,Medium,68,Low
22,78,Medium,Medium,Medium,68,Low
19,60,Medium,Medium,Medium,62,Low
25,82,Medium,Medium,Medium,71,Medium
7,86,Medium,Medium,Medium,63,Low
21,84,High,Medium,Low,69,Low
25,89,Medium,High,Medium,71,Medium
11,83,High,Medium,Medium,66,Low
27,63,Medium,Low,Medium,64,Low
22,65,Medium,Low,Medium,65,Low
18,84,Medium,Medium,Low,69,Low
24,71,Medium,Medium,High,66,Low
34,63,Medium,Low,Medium,67,Low
21,77,Medium,Medium,Medium,65,Low
21,82,Low,High,Medium,65,Low
17,73,High,High,Medium,67,Low
15,89,Low,Low,Medium,66,Low
25,86,Medium,Low,Low,69,Low
15,73,Medium,Low,Medium,64,Low
20,90,Medium,High,High,70,Low
17,86,High,Low,Medium,68,Low
23,85,High,Low,Medium,68,Low
22,82,High,Low,,69,Low
26,60,Medium,High,Medium,68,Low
17,88,Medium,Medium,Medium,70,Low
18,75,High,Medium,High,67,Low
14,98,High,Medium,Medium,72,Medium
17,93,High,Medium,Medium,69,Low
22,84,High,Medium,Low,69,Low
25,70,Low,Low,Medium,64,Low
14,68,Low,Medium,Medium,63,Low
25,74,High,Medium,High,70,Low
28,79,High,Medium,Medium,70,Low
22,72,High,Low,Medium,66,Low
31,81,Medium,Low,Medium,70,Low
15,67,Medium,High,Medium,66,Low
13,99,Medium,Medium,Medium,68,Low
9,64,Medium,Medium,Medium,61,Low
29,97,Medium,Medium,Medium,72,Medium
24,97,High,Low,Medium,69,Low
20,81,Medium,Low,Low,63,Low
22,89,Medium,Medium,Medium,72,Medium
13,77,Medium,Medium,Medium,65,Low
35,85,Medium,High,Medium,74,Medium
21,74,Medium,Low,Medium,62,Low
21,72,High,Low,Medium,65,Low
24,83,Low,Low,High,68,Low
23,80,Medium,Medium,Medium,66,Low
21,83,High,Low,Medium,71,Medium
15,71,Medium,Low,Medium,62,Low
23,75,Low,Low,Medium,65,Low
31,63,Medium,Low,Medium,68,Low
28,62,Medium,Medium,High,70,Low
30,70,Low,Medium,,67,Low
17,63,Medium,Medium,Medium,63,Low
14,64,High,Low,High,63,Low
19,93,Medium,Medium,High,69,Low
20,62,Low,High,Medium,66,Low
27,86,Medium,Low,Medium,70,Low
10,71,Medium,High,High,63,Low
29,95,Low,Medium,Medium,72,Medium
19,79,High,Low,Medium,65,Low
17,72,Medium,Low,Medium,67,Low
14,81,Medium,Low,Medium,63,Low
10,75,High,Medium,High,65,Low
25,83,Medium,Medium,Medium,67,Low
20,65,Medium,High,Medium,80,Medium
12,100,Medium,Medium,Medium,68,Low
12,77,Medium,Medium,High,63,Low
18,74,Medium,Medium,Medium,64,Low
30,88,Medium,Medium,Low,73,Medium
18,75,Medium,Low,High,66,Low
11,93,Medium,Low,Medium,66,Low
19,78,High,Medium,Medium,66,Low
18,89,Medium,Low,Low,69,Low
4,64,Medium,Medium,High,59,Low
20,94,Medium,Medium,Medium,68,Low
19,89,Medium,Medium,Medium,67,Low
24,68,Medium,Low,Medium,64,Low
31,66,Low,Low,Low,65,Low
27,73,Medium,Low,Medium,68,Low
18,99,Medium,Low,Medium,70,Low
13,70,Medium,Medium,High,62,Low
35,78,High,Medium,Medium,72,Medium
20,61,Medium,Low,Medium,62,Low
20,76,High,Low,Medium,68,Low
20,83,High,Medium,High,69,Low
21,98,High,Low,High,73,Medium
19,81,High,Low,Medium,69,Low
17,93,Medium,Medium,Medium,67,Low
17,82,Medium,Low,Low,65,Low
20,62,Low,High,Medium,63,Low
17,73,High,Medium,Medium,66,Low
16,83,Medium,Medium,High,66,Low
21,98,Medium,Low,High,70,Low
18,94,Medium,Low,Medium,69,Low
29,69,Medium,Low,Medium,70,Low
4,69,Medium,Low,High,58,Low
27,68,Medium,Medium,Medium,67,Low
27,97,High,Low,,73,Medium
8,94,High,High,Medium,66,Low
18,91,High,High,Medium,70,Low
18,76,High,Medium,Medium,67,Low
12,80,Low,High,Low,60,Low
15,79,High,Low,Low,65,Low
13,70,Medium,Medium,High,63,Low
31,80,High,Low,High,72,Medium
26,61,Low,High,Medium,62,Low
28,65,Medium,Medium,High,70,Low
24,95,High,Medium,High,70,Low
13,90,Medium,Medium,Medium,64,Low
17,77,Medium,Low,Medium,64,Low
23,81,Medium,Medium,High,67,Low
13,75,Medium,High,High,64,Low
24,90,Medium,Low,High,72,Medium
19,91,Medium,Medium,Medium,66,Low
18,91,Medium,Medium,Medium,66,Low
24,89,Medium,Medium,High,71,Medium
23,68,Low,Medium,Medium,66,Low
18,74,Medium,High,High,64,Low
27,79,Medium,Low,Medium,66,Low
14,73,Medium,Low,Medium,62,Low
24,90,Medium,Medium,Medium,70,Low
24,73,Medium,Medium,High,69,Low
18,66,High,Medium,Medium,65,Low
22,76,High,High,High,70,Low
12,99,High,Medium,Medium,70,Low
26,69,Medium,Medium,High,67,Low
19,84,Medium,Low,High,69,Low
17,77,Low,Low,High,62,Low
26,63,Medium,Medium,Medium,67,Low
16,80,High,High,Medium,65,Low
12,88,Medium,Medium,Medium,65,Low
11,81,Medium,Medium,,65,Low
24,95,Medium,Medium,Medium,69,Low
12,72,Medium,Low,Medium,63,Low
31,63,Low,Low,Medium,66,Low
8,97,Medium,Medium,Medium,67,Low
30,75,Medium,High,Medium,69,Low
21,83,Medium,High,High,67,Low
19,92,Medium,Medium,High,70,Low
17,73,High,Medium,Medium,67,Low
22,89,High,Medium,Medium,70,Low
20,65,High,Medium,Low,65,Low
27,72,Medium,Medium,High,63,Low
21,66,Medium,Medium,Medium,64,Low
21,92,High,Low,Medium,69,Low
18,69,Low,Low,Medium,60,Low
20,89,Low,Medium,Medium,69,Low
22,98,Medium,Medium,Medium,72,Medium
10,81,Medium,Low,Medium,63,Low
12,82,Low,High,Medium,63,Low
24,78,High,High,Medium,66,Low
21,73,Medium,Medium,High,70,Low
19,79,Medium,Medium,Medium,68,Low
20,84,Medium,Low,Medium,69,Low
22,99,Medium,High,High,72,Medium
17,98,Low,Low,Low,67,Low
